tag,homogeneous,linear,n,n_successful_runs,ATE_RMSE_mean,ATE_Coverage_mean,ATE_Len_mean,CATE_RMSE_mean,CATE_Coverage_mean,CATE_Len_mean
set_1,TRUE,TRUE,250,50,0.569712294082681,0.66,1.50906898737421,0.782634270956023,0.95384,3.13011198840282
set_2,TRUE,FALSE,250,50,0.585002078264805,0.9,2.66810027693496,0.86377532639338,0.98336,4.9462856189149
set_3,FALSE,TRUE,250,50,0.510764715816223,0.76,1.46779702523337,0.711727859806991,0.94352,3.03180567963142
set_4,FALSE,FALSE,250,50,0.524072938255986,0.96,2.57694368972115,0.842173238168357,0.98896,4.80258818505188
