"dataset","method","rmse_ate_mean","rmse_ate_sd","cover_ate_mean","cover_ate_sd","len_ate_mean","len_ate_sd","rmse_cate_mean","rmse_cate_sd","cover_cate_mean","cover_cate_sd","len_cate_mean","len_cate_sd"
"data_n250_homF_linF","bart",1.02535683828135,0.33520349959316,0.96,0.197948663722157,2.91689717372447,0.331996902802767,0.885658596109316,0.431101774914894,0.9936,0.0282380550870991,5.70744943648977,0.594024548333237
"data_n250_homF_linT","bart",0.569812707426539,0.210582471982044,0.9,0.303045763365663,1.46347632736843,0.185957945016899,0.55154813297027,0.241010677142602,0.98744,0.0532809879175432,2.95846932955629,0.365717171065637
"data_n250_homT_linF","bart",0.943952748304233,0.322896105871186,0.94,0.239897937482095,2.73923716306907,0.381028061980642,0.822119389717573,0.412336715928546,0.99344,0.0378159668253871,5.51006656780068,0.693425985234058
"data_n250_homT_linT","bart",0.505926893137253,0.156350541098658,0.94,0.239897937482095,1.41566464387217,0.175205407036537,0.485143418241504,0.182418692331534,0.99552,0.014560556167893,2.86044479576158,0.35922259643153
"data_n500_homF_linF","bart",0.702900471022447,0.26302746184464,0.94,0.239897937482095,2.03424120924713,0.192778193741655,0.659572905062187,0.306146545833817,0.99508,0.0208755691600278,4.57511652545425,0.465287296375807
"data_n500_homF_linT","bart",0.383825967033045,0.127783659593211,0.94,0.239897937482095,1.08719649007695,0.11748646935737,0.410921357934484,0.149909857358464,0.99048,0.0422211089482065,2.44666028009057,0.22901728506723
"data_n500_homT_linF","bart",0.680042630702332,0.207755457410071,0.96,0.197948663722157,2.01517526297154,0.208417804195122,0.689675957749714,0.281399114682751,0.99696,0.00914499974894277,4.55774225479402,0.43673179898179
"data_n500_homT_linT","bart",0.381087096475568,0.127570955508276,0.94,0.239897937482095,1.09647467775809,0.128344236851485,0.406077276477524,0.153260040563316,0.998,0.00666394502268035,2.49718032761344,0.318495231314611
"data_n250_homF_linF","ps-bart",1.00163695879076,0.324519971398736,0.94,0.239897937482095,2.87939870954687,0.348824563495155,0.878073767044979,0.438335534037178,0.99512,0.0174503844762042,5.67251552396455,0.610574959683868
"data_n250_homF_linT","ps-bart",0.5742008461814,0.217681653355032,0.9,0.303045763365663,1.45634946416331,0.176413954617556,0.54987495553013,0.244221634563407,0.98728,0.0465964174851348,2.90307129592113,0.354562801484596
"data_n250_homT_linF","ps-bart",0.935723774098499,0.316830303359417,0.94,0.239897937482095,2.73120683433452,0.346830057761487,0.799829110555075,0.417961331605899,0.9916,0.043143803206278,5.42793185731387,0.648415031256874
"data_n250_homT_linT","ps-bart",0.499569532765059,0.156350935366355,0.96,0.197948663722157,1.41136395258787,0.173725333389685,0.472829137974586,0.18784968849597,0.9956,0.0164080617318414,2.80651803098763,0.331380886401105
"data_n500_homF_linF","ps-bart",0.699426452711635,0.248085157385993,0.96,0.197948663722157,2.03589551442469,0.191684033623934,0.654147549736128,0.288600396435794,0.99748,0.010504109982793,4.5349250333587,0.444271691437627
"data_n500_homF_linT","ps-bart",0.382086651064156,0.129365478077645,0.92,0.27404751561787,1.08332853282161,0.114217091060547,0.402803369269127,0.162480264121414,0.99136,0.0419376407811135,2.40289194388231,0.225802391420127
"data_n500_homT_linF","ps-bart",0.668458177290843,0.184951150483288,0.96,0.197948663722157,2.00312768202199,0.200426698255935,0.665783198017116,0.26586281223853,0.99868,0.00426872824343815,4.50390339799218,0.447498971513331
"data_n500_homT_linT","ps-bart",0.375382418637618,0.126479987049747,0.96,0.197948663722157,1.08552621626596,0.120858993391863,0.395339338269996,0.158814157832334,0.99824,0.00565165679157855,2.44586501583609,0.308927864395196
