tag,sim_run,ate_hat,ate_coverage,ate_len,ate_rmse,cate_rmse,cate_coverage,cate_len
set_1,1,3.98928848073644,FALSE,1.32305477003891,0.989288480736437,1.03868335139788,0.828,2.93656792321774
set_2,1,3.18316645566681,TRUE,2.45429511377024,0.183166455666807,0.414608792641482,1,4.51587316893221
set_3,1,3.96457684210051,TRUE,1.9866275518765,0.964576842100512,1.03838473231245,0.992,3.56769726533636
set_4,1,3.32846808913778,TRUE,2.058756567576,0.328468089137783,0.384670150465243,1,3.78354168243336
set_1,2,3.22052144215097,TRUE,1.56805659938541,0.220521442150971,0.308555930499411,1,2.8991936112842
set_2,2,3.04570084891879,TRUE,2.29382247548445,0.0457008489187918,0.557034639561771,1,4.5612433128371
set_3,2,3.52929697659879,TRUE,1.99800182169779,0.529296976598793,0.831375083943368,1,4.02176921453429
set_4,2,3.44446683414538,TRUE,2.21871177491027,0.444466834145383,1.43895736916756,0.964,5.28551556990652
set_1,3,3.60000586146263,TRUE,1.39886117738593,0.600005861462632,0.652487578817559,1,2.79786034357544
set_2,3,3.25602286749939,TRUE,2.55439045386653,0.256022867499389,0.579746542503217,1,4.53935040038677
set_3,3,3.2631411426629,TRUE,1.65507198389444,0.263141142662897,0.939496993465527,0.984,3.96104697836197
set_4,3,3.63296484764365,TRUE,2.58978206163189,0.632964847643647,0.806628064581082,1,4.91197689932763
set_1,4,3.32515499136538,TRUE,1.69643617548878,0.325154991365376,0.782495143960061,1,3.6498302121924
set_2,4,3.58485553508951,TRUE,2.3239674797404,0.58485553508951,0.799250999318951,1,4.49654922522391
set_3,4,3.17806442526924,TRUE,1.51236327256011,0.178064425269236,0.319160560003845,1,2.78336920103877
set_4,4,3.67298008585273,TRUE,2.93756070413584,0.672980085852725,0.742522548896856,1,4.81750735248841
set_1,5,3.46260928283917,TRUE,1.44936358762149,0.462609282839169,0.614733498263446,1,2.89841319805946
set_2,5,3.93853240946999,TRUE,2.89003991523804,0.938532409469991,0.977534148310709,1,4.8742038331832
set_3,5,3.3188319588733,TRUE,1.79710892040044,0.318831958873304,0.560921346266021,1,3.41683504669875
set_4,5,3.07280341075705,TRUE,2.66731008911287,0.0728034107570545,0.263189133312506,1,4.54190836367385
set_1,6,3.3892303646722,TRUE,1.15820630831406,0.389230364672204,0.580748545551968,1,2.80561132541319
set_2,6,3.4422195969192,TRUE,3.87871579236562,0.442219596919203,0.629487046733262,1,6.46953739634527
set_3,6,3.43325529603003,TRUE,1.44980044390233,0.433255296030028,0.516654206738188,1,2.98501551822753
set_4,6,3.41965040750731,TRUE,2.78973570855552,0.419650407507311,0.628358965794554,1,4.84188579132795
set_1,7,3.15039920922982,TRUE,1.41002336817002,0.150399209229825,0.635352646405146,1,2.95074406991536
set_2,7,2.11062299026226,TRUE,2.90738775077393,0.889377009737741,0.945292906838077,1,4.68924507470865
set_3,7,2.96691499074984,TRUE,1.37885731185389,0.0330850092501609,0.399076774728369,1,2.64550124887205
set_4,7,2.26557192819028,TRUE,2.75365891303018,0.734428071809718,0.778277127064006,1,4.29279730785859
set_1,8,3.8665827388037,TRUE,2.22768636004931,0.866582738803702,1.17028514140816,0.992,4.30090789969882
set_2,8,3.17324274955576,TRUE,2.02419389484818,0.173242749555763,0.406468065420785,1,3.83167272906252
set_3,8,3.71754171239931,TRUE,1.55952099326556,0.717541712399312,0.773765133734335,1,3.15488636713979
set_4,8,2.07022142793157,TRUE,2.81865434637816,0.929778572068427,0.982108336274116,1,4.32212605435688
set_1,9,3.60458920142987,FALSE,1.22585970988026,0.604589201429865,0.632465274561073,1,2.49295752359149
set_2,9,3.57689973359179,TRUE,2.49770545196687,0.576899733591793,0.925046493489672,1,5.31823818754761
set_3,9,3.36040063554644,TRUE,1.2921808325127,0.360400635546435,0.669260776516253,1,2.81539676104577
set_4,9,2.96570961300984,TRUE,3.07164149192774,0.0342903869901616,0.823313450380552,1,6.08074501788204
set_1,10,2.79939778560547,TRUE,1.45430504456205,0.200602214394527,0.288023606396726,1,2.76011759684626
set_2,10,3.23325014158947,TRUE,3.21141591087924,0.233250141589473,0.429624214781123,1,5.66186547023743
set_3,10,4.34886198693296,FALSE,1.33774055555249,1.34886198693296,1.42513981402024,0.612,3.05708064510316
set_4,10,2.91980083619179,TRUE,2.28867918817446,0.0801991638082065,0.802533350076254,1,5.07749188614891
set_1,11,3.34770928329231,TRUE,1.70912585289403,0.347709283292306,0.634368763295247,1,3.18280980532693
set_2,11,3.85969319371906,TRUE,2.81830250755151,0.859693193719058,1.22607951211951,1,6.61247045890912
set_3,11,3.65270286740474,TRUE,1.77325349481121,0.652702867404745,0.745618130645473,1,3.57445958758279
set_4,11,3.06671274762343,TRUE,2.3235345974534,0.0667127476234284,0.620488226383882,1,4.53673696900979
set_1,12,3.86038313316782,FALSE,1.62776779242018,0.860383133167822,0.978498843466799,0.988,3.37921750553721
set_2,12,2.49789184399368,TRUE,2.5019264865658,0.502108156006325,1.14929909304407,1,5.85792714196641
set_3,12,3.42739078945455,TRUE,1.55462191503078,0.427390789454552,0.484588860062966,1,2.90925930813683
set_4,12,2.66999212689568,TRUE,2.41915072690514,0.330007873104324,1.03136267891677,1,5.13194286304251
set_1,13,3.3986787826751,TRUE,1.36943464335855,0.398678782675096,0.432565016089879,1,2.68454298725379
set_2,13,1.84812986807189,TRUE,2.53125692464025,1.15187013192811,1.18786246677014,1,4.07895526130713
set_3,13,4.29653773138835,FALSE,1.40314334196846,1.29653773138835,1.3274195579901,0.348,2.61232668678775
set_4,13,2.87504379034948,TRUE,2.52226385537025,0.12495620965052,0.363168723495449,1,4.41678957049442
set_1,14,3.48237449285573,TRUE,1.4163425088575,0.482374492855734,0.858165334908049,1,3.21275276997665
set_2,14,3.25059317630905,TRUE,2.9061732261189,0.250593176309051,0.564554886594078,1,5.21978303955506
set_3,14,3.54781389862714,TRUE,1.34226351605966,0.54781389862714,0.585319026052045,1,2.7613483213921
set_4,14,5.14651017178922,FALSE,3.18948222209724,2.14651017178922,2.27498673839648,0.82,5.87692741863182
set_1,15,4.09921516777008,FALSE,1.2524035031738,1.09921516777008,1.30608635400325,0.664,3.12496605672093
set_2,15,5.13571226162015,FALSE,2.75955426364788,2.13571226162015,2.1772914746935,0.684,5.21751769366463
set_3,15,3.02151258776616,TRUE,1.49664827689491,0.0215125877661611,0.521223183584966,1,3.17379473621788
set_4,15,2.74402476581248,TRUE,2.73543017217026,0.255975234187519,0.41367609876738,1,4.491268729312
set_1,16,3.49484004435278,TRUE,1.56323384700596,0.494840044352776,0.687225578055335,1,2.98227406608659
set_2,16,4.49369604051099,FALSE,2.50756542478657,1.49369604051099,1.66514139651349,0.948,5.27326327265071
